,ISBN,Favourite-Generation,Book-Rating
29344,0380780747,genx,8.0
29349,0380780755,millenial,10.0
29354,0380780860,genz,8.0
29360,0380780879,genz,9.0
29366,0380781042,genz,8.0
29373,038078145X,millenial,6.666666666666667
29378,0380782332,genz,10.0
29384,0380782340,genz,9.5
29391,0380782391,millenial,7.666666666666667
29397,038078405X,millenial,6.0
29402,0380784149,genz,7.0
29408,0380784157,genz,7.0
29412,0380784165,teenager,8.0
29420,0380784491,genz,9.0
29429,0380784505,boomer+,10.0
29433,0380785188,millenial,8.0
29439,038078520X,millenial,5.0
29445,0380785218,millenial,7.0
29451,0380786095,millenial,10.0
29457,0380786222,millenial,10.0
29460,0380786230,teenager,10.0
29469,0380786680,millenial,9.0
29476,0380786702,genx,8.0
29481,0380787067,millenial,8.0
29487,0380787075,millenial,9.333333333333334
29492,0380788101,genz,8.0
29499,0380788152,millenial,9.5
29505,0380788314,millenial,8.0
29510,0380788497,genz,8.666666666666666
29519,0380788624,boomer+,10.0
29524,0380788683,genx,7.5
29530,0380788691,genx,8.5
29536,0380788756,genx,8.0
29539,0380789019,youth,8.333333333333334
29544,0380789035,teenager,9.0
29553,0380789353,millenial,9.5
29558,0380789590,genz,10.0
29564,0380789612,genz,7.0
29570,0380789825,genz,10.0
29576,0380789876,genz,10.0
29584,0380789884,genx,10.0
29588,0380789892,genz,10.0
29592,0380789949,teenager,10.0
29602,038079005X,genx,7.0
29607,0380790076,millenial,9.0
29612,0380790904,genz,8.5
29618,0380790947,genz,10.0
29624,0380790963,genz,10.0
29630,0380791242,genz,9.0
29636,0380791412,genz,8.0
29643,0380791854,millenial,9.5
29648,0380791978,genz,9.0
29655,0380791986,millenial,7.4
29661,0380791994,millenial,7.5
29666,0380792028,genz,10.0
29673,0380792478,millenial,8.0
29680,0380792486,genx,9.5
29687,0380792494,boomer+,10.0
29691,0380792648,millenial,8.444444444444445
29697,0380792664,millenial,8.0
29703,0380792672,millenial,7.0
29710,0380792737,genx,8.5
29716,0380792745,genx,8.5
29721,0380792885,millenial,8.0
29726,0380792923,genz,8.0
29732,038079294X,genz,8.5
29738,0380793059,genz,8.0
29744,0380793253,genz,8.0
29752,0380793261,genx,6.666666666666667
29757,0380793334,millenial,8.4
29763,0380793342,millenial,7.666666666666667
29769,0380793474,millenial,10.0
29774,0380793660,genz,8.0
29781,038079439X,millenial,8.428571428571429
29787,0380794470,millenial,8.75
29793,0380794489,millenial,9.0
29800,0380794497,genx,8.5
29804,038079456X,genz,9.0
29810,0380794578,genz,8.0
29816,038079487X,genz,7.909090909090909
29823,0380795116,millenial,7.0
29829,0380795124,millenial,8.0
29832,0380795272,teenager,8.0
29840,0380795531,genz,9.0
29846,0380795981,genz,8.0
29852,0380796090,genz,9.0
29859,0380796104,millenial,7.2
29866,0380797151,genx,5.0
29872,0380797399,genx,8.6
29876,0380797631,genz,9.0
29882,0380797992,genz,9.0
29886,0380798271,teenager,9.0
29896,038079828X,genx,9.5
29901,0380798328,millenial,8.0
29908,0380798360,genx,7.5
29912,0380798395,genz,6.5
29920,0380798476,genx,8.5
29926,0380798565,genx,9.0
29931,0380798573,millenial,7.0
29938,0380798581,genx,8.5
29944,0380798913,genx,7.0
29950,0380799006,genx,9.0
29955,0380799367,millenial,9.0
29961,0380799375,millenial,9.333333333333334
29968,038079943X,genx,10.0
29974,0380799502,genx,8.5
29979,038079960X,millenial,8.0
29985,0380800209,millenial,8.0
29991,0380800268,millenial,6.0
29997,0380800780,millenial,7.5
30003,0380800799,millenial,7.5
30009,0380800802,millenial,5.0
30016,0380800810,genx,10.0
30021,0380800829,millenial,9.333333333333334
30027,0380801213,millenial,10.0
30032,0380801493,genz,9.0
30038,0380802090,genz,8.0
30045,0380802252,millenial,8.0
30051,0380802279,millenial,7.0
30056,0380802309,genz,9.0
30063,0380802317,millenial,8.5
30068,0380802325,genz,9.333333333333334
30076,0380802449,genx,8.333333333333334
30082,0380802457,genx,7.333333333333333
30087,0380802600,millenial,8.666666666666666
30094,0380802929,genx,10.0
30099,0380802937,millenial,7.0
30105,038080297X,millenial,9.0
30110,0380803232,genz,7.0
30118,0380803941,genx,8.666666666666666
30122,0380804174,genz,8.0
30130,0380804387,genx,8.0
30133,0380804557,youth,9.0
30143,0380804697,boomer+,9.0
30146,0380804700,genz,8.0
30154,0380804743,genx,7.0
30159,0380804794,millenial,9.0
30166,0380804883,genx,8.666666666666666
30170,0380804921,genz,7.0
30177,0380805197,millenial,10.0
30182,0380805421,genz,6.0
30189,0380805596,millenial,8.5
30196,0380805685,genx,9.0
30201,0380805693,millenial,7.0
30205,0380805707,youth,9.0
30214,0380805901,genx,8.0
30221,0380805995,boomer+,9.0
30224,038080624X,genz,9.0
30231,0380806304,millenial,9.0
30237,0380806347,millenial,10.0
30243,0380806576,millenial,8.0
30250,0380807122,genx,8.5
30255,0380807149,millenial,8.75
30261,0380807157,millenial,8.5
30267,038080719X,millenial,7.0
30273,0380807319,millenial,9.0
30278,0380807343,genz,8.777777777777779
30286,0380807866,genx,10.0
30291,0380807939,millenial,7.5
30294,0380807947,teenager,7.0
30304,038080803X,genx,9.0
30308,0380808072,genz,8.0
30314,0380808080,genz,10.0
30322,0380808307,genx,8.333333333333334
30327,0380808315,millenial,9.0
30332,0380809281,genz,9.0
30340,0380809362,genx,6.8
30345,0380809389,millenial,8.0
30351,0380810220,millenial,7.0
30358,0380810239,genx,9.0
30363,0380810336,millenial,10.0
30369,0380810484,millenial,8.0
30375,038081093X,millenial,8.0
30379,0380811065,youth,10.0
30385,0380811073,youth,10.0
30394,0380811081,genx,9.5
30399,0380811812,millenial,9.5
30405,0380811898,millenial,7.333333333333333
30412,038081191X,genx,9.0
30414,0380811987,teenager,7.0
30423,0380812010,millenial,9.0
30429,0380812029,millenial,8.0
30436,0380812037,genx,9.0
30442,0380812045,genx,10.0
30448,0380812053,genx,9.5
30451,0380812525,youth,6.666666666666667
30458,0380812894,genz,7.0
30465,0380812916,millenial,8.333333333333334
30470,0380812967,genz,9.0
30477,0380812975,millenial,9.5
30484,0380813041,genx,8.0
30488,0380813394,genz,10.0
30493,0380813815,youth,10.0
30501,0380814021,millenial,9.0
30505,038081403X,youth,7.0
30513,0380814382,millenial,9.0
30518,0380814390,genz,9.0
30524,0380814676,genz,8.0
30531,0380814714,millenial,8.75
30539,038081479X,boomer+,9.0
30544,0380814803,genx,7.0
30549,0380814811,millenial,7.8
30555,0380814862,millenial,10.0
30562,0380815249,genx,8.0
30567,0380815559,millenial,8.5
30573,0380815575,millenial,8.5
30578,0380815583,genz,9.0
30585,0380815591,millenial,8.0
30593,0380815613,boomer+,8.0
30598,038081563X,genx,4.5
30603,0380815923,millenial,7.5
30608,0380815931,genz,8.6
30615,0380816032,millenial,8.0
30621,0380816547,millenial,8.0
30626,0380816555,genz,8.0
30632,038081658X,genz,10.0
30639,0380816822,millenial,7.333333333333333
30646,0380816830,genx,8.0
30652,0380816849,genx,8.0
30657,0380816857,millenial,10.0
30661,0380817144,youth,10.0
30666,0380817152,teenager,8.0
30675,0380817160,millenial,8.0
30681,0380817187,millenial,7.0
30686,0380817446,genz,10.0
30692,0380817683,genz,8.166666666666666
30697,0380817691,youth,10.0
30704,0380817705,genz,7.0
30710,0380817845,genz,8.0
30717,0380817896,millenial,9.0
30723,038081790X,millenial,9.5
30729,0380818078,millenial,10.0
30733,0380818191,youth,10.0
30742,0380818205,genx,9.0
30747,0380818213,millenial,10.0
30752,0380818329,genz,9.0
30756,0380818337,teenager,10.0
30765,0380818647,millenial,9.0
30772,0380818809,genx,8.0
30777,0380818876,millenial,9.0
30782,0380818973,genz,8.0
30789,038081904X,millenial,9.0
30796,0380819171,genx,9.0
30800,038081918X,genz,10.0
30804,0380819201,teenager,10.0
30812,0380819368,genz,6.0
30820,0380819376,genx,8.0
30825,0380819384,millenial,10.0
30830,0380819546,genz,10.0
30838,0380819570,genx,9.0
30844,0380819600,genx,8.0
30850,0380819619,genx,8.0
30856,0380819627,genx,8.0
30861,0380819635,millenial,8.0
30868,0380819643,genx,8.0
30872,0380819651,genz,10.0
30879,0380819724,millenial,8.5
30885,0380820048,millenial,8.666666666666666
30891,0380820056,millenial,7.5
30898,0380820064,genx,8.0
30904,0380820145,genx,8.25
30907,0380820293,youth,8.0
30914,0380820447,genz,8.166666666666666
30922,0380820544,genx,8.5
30926,0380820560,genz,8.0
30934,0380820692,genx,9.0
30940,0380820706,genx,8.5
30945,038082079X,millenial,9.0
30951,0380820803,millenial,7.5
30957,038082082X,millenial,9.0
30964,0380820838,genx,9.0
30969,0380820846,millenial,8.666666666666666
30976,0380820854,genx,10.0
30981,0380820889,millenial,8.0
30988,0380820900,genx,10.0
30992,038082101X,genz,8.666666666666666
30998,0380821214,genz,8.25
31006,0380841940,genx,10.0
31012,0380842939,genx,10.0
31019,0380844001,boomer+,10.0
31023,0380851180,millenial,8.0
31030,0380868768,genx,9.0
31035,0380871556,millenial,8.5
31040,0380872218,genz,9.0
31046,0380892847,genz,8.0
31052,0380893002,genz,10.0
31058,0380895366,genz,10.0
31065,0380896389,millenial,8.666666666666666
31072,0380896931,genx,9.0
31074,0380897393,teenager,8.0
31081,0380897822,youth,7.0
31088,0380898187,genz,10.0
31095,038089887X,millenial,7.0
31101,0380899361,millenial,5.333333333333333
31105,0380899531,youth,9.0
31110,038089968X,teenager,10.0
31119,0380899825,millenial,8.285714285714286
31126,0380973324,genx,9.0
31132,0380973464,genx,10.0
31137,0380973537,millenial,8.5
31140,0380973545,teenager,9.0
31148,0380973634,genz,10.0
31153,0380973642,youth,9.0
31160,0380973650,genz,9.4
31169,0380973820,boomer+,8.0
31172,038097391X,genz,5.0
31180,0380974061,genx,7.0
31186,038097407X,genx,10.0
31193,0380974991,boomer+,8.5
31197,0380975017,millenial,9.0
31203,0380975068,millenial,8.222222222222221
31208,038097536X,genz,9.0
31216,0380975726,genx,10.0
31221,0380976498,millenial,6.5
31227,0380977257,millenial,9.0
31233,0380977273,millenial,8.75
31239,0380977281,millenial,9.0
31247,038097729X,boomer+,9.0
31252,0380977303,genx,7.833333333333333
31258,0380977311,genx,9.0
31264,0380977362,genx,8.5
31269,0380977400,millenial,8.0
31275,0380977427,millenial,8.5
31281,0380977729,millenial,5.0
31287,0380977737,millenial,6.0
31294,0380977761,genx,10.0
31300,0380977788,genx,8.75
31304,0380978091,genz,10.0
31310,0380978202,genz,6.0
31318,038097827X,genx,10.0
31320,0380978407,teenager,9.0
31329,0380978415,millenial,9.0
31334,0380978482,genz,10.0
31341,0380978547,millenial,9.0
31348,0380978555,genx,7.5
31353,0380978563,millenial,9.0
31359,0380978725,millenial,2.0
31366,0380978822,genx,8.5
31372,0380978849,genx,9.0
31378,0380978857,genx,8.75
31382,0380978954,genz,9.0
31388,0380979020,genz,9.0
31393,0385007515,youth,8.0
31402,0385014856,genx,9.0
31408,0385021747,genx,10.0
31414,0385037872,genx,7.5
31419,0385044011,millenial,7.75
31426,0385074077,genx,10.0
31433,0385086954,boomer+,10.0
31437,038509423X,millenial,9.5
31444,0385116322,genx,8.333333333333334
31449,0385121679,millenial,8.8
31454,0385129912,genz,9.5
31461,0385182449,millenial,8.5
31468,0385196156,genx,9.0
31475,0385199570,boomer+,10.0
31478,0385234104,genz,8.0
31485,0385240406,millenial,9.0
31491,0385246641,millenial,8.0
31497,0385247443,millenial,10.0
31504,0385247729,genx,8.0
31510,0385247745,genx,10.0
31515,0385247931,millenial,7.333333333333333
31522,0385247958,genx,9.0
31527,0385260075,millenial,9.0
31532,0385260083,genz,9.0
31540,0385260156,genx,9.333333333333334
31545,0385264666,millenial,10.0
31548,0385264763,teenager,8.0
31558,0385265565,genx,9.0
31565,0385265700,boomer+,10.0
31569,0385267134,millenial,7.5
31576,0385285965,genx,8.25
31581,0385294166,millenial,8.0
31587,0385296495,millenial,7.6
31594,0385297661,genx,9.0
31599,0385299079,millenial,7.666666666666667
31605,0385299087,millenial,7.333333333333333
31611,0385299095,millenial,7.5
31617,0385299109,millenial,8.0
31625,038529929X,boomer+,9.0
31631,038529932X,boomer+,8.0
31637,0385301499,boomer+,9.0
31641,0385302304,millenial,9.0
31647,0385302320,millenial,8.8
31654,0385304900,genx,9.0
31660,0385306024,genx,9.5
31666,0385306032,genx,8.0
31672,0385306040,genx,9.0
31678,0385306059,genx,6.5
31684,0385307756,genx,8.5
31690,0385308477,genx,10.0
31695,0385308485,millenial,8.0
31701,0385311044,millenial,10.0
31707,0385311109,millenial,8.6
31713,0385311400,millenial,9.0
31718,0385311575,genz,9.5
31725,038531177X,millenial,10.0
31732,0385311923,genx,8.333333333333334
31737,0385312113,millenial,9.0
31744,0385312202,genx,7.5
31749,0385312377,millenial,8.25
31756,0385312431,genx,9.0
31761,038531258X,millenial,8.0
31768,0385312660,genx,10.0
31772,038531292X,genz,9.666666666666666
31779,0385313012,millenial,8.0
31784,0385313136,genz,7.5
31791,0385313543,millenial,9.0
31797,0385313632,millenial,9.5
31805,0385313667,boomer+,8.0
31809,038531387X,millenial,9.0
31815,0385314043,millenial,10.0
31822,0385314256,genx,9.0
31826,0385314280,genz,10.0
31833,0385314337,millenial,8.0
31839,038531437X,millenial,5.0
31844,0385314388,genz,10.0
31851,0385314574,millenial,9.0
31857,0385314698,millenial,7.454545454545454
31864,0385314744,genx,10.0
31869,0385315023,millenial,8.0
31875,0385315031,millenial,10.0
31882,0385315058,genx,9.0
31886,0385315090,genz,8.0
31892,0385315147,genz,8.0
31899,0385315236,millenial,7.636363636363637
31905,0385315279,millenial,7.833333333333333
31911,0385315287,millenial,8.6
31916,0385315309,genz,10.0
31923,0385315511,millenial,7.333333333333333
31928,0385315546,genz,10.0
31936,0385315724,genx,8.5
31941,0385315902,millenial,8.0
31946,0385316348,genz,10.0
31953,0385316577,millenial,8.0
31959,0385316860,millenial,7.4
31967,0385316879,boomer+,7.0
31971,0385316895,millenial,9.333333333333334
31977,0385316917,millenial,7.166666666666667
31985,0385316925,boomer+,7.0
31988,038531695X,genz,10.0
31994,038531700X,genz,8.5
32001,0385317018,millenial,8.5
32006,0385317093,genz,9.0
32014,0385318073,genx,8.0
32019,0385318294,millenial,9.5
32025,0385318375,millenial,10.0
32033,0385318782,boomer+,8.0
32036,0385318804,genz,8.0
32042,0385319002,genz,7.5
32047,0385319037,youth,8.0
32055,0385319207,millenial,8.875
32061,0385319347,millenial,7.0
32067,0385319401,millenial,9.0
32075,0385319444,boomer+,8.0
32080,0385319452,genx,9.0
32085,0385319525,millenial,8.0
32090,0385319568,genz,9.5
32097,0385319576,millenial,6.0
32100,0385319673,teenager,9.0
32109,038531972X,millenial,8.0
32115,0385319800,millenial,10.0
32122,0385319851,genx,9.0
32127,0385319959,millenial,9.333333333333334
32133,0385321198,millenial,9.0
32140,0385323638,genx,7.666666666666667
32146,0385323832,genx,6.0
32152,0385323905,genx,9.0
32159,0385323921,boomer+,5.0
32160,0385324057,teenager,9.0
32170,0385324081,genx,8.0
32176,0385324138,genx,10.0
32178,0385326742,teenager,9.0
32184,038532720X,teenager,10.0
32191,0385327935,youth,7.333333333333333
32196,0385327943,teenager,9.0
32206,0385332777,genx,8.0
32208,0385332963,teenager,7.666666666666667
32219,0385333005,boomer+,8.0
32222,038533303X,genz,8.0
32230,0385333064,genx,10.0
32235,0385333099,millenial,9.0
32241,0385333137,millenial,8.0
32247,0385333293,millenial,10.0
32255,038533334X,boomer+,8.0
32259,0385333404,millenial,6.5
32264,0385333412,genz,8.333333333333334
32273,0385333463,boomer+,10.0
32278,038533348X,genx,9.5
32284,0385333498,genx,9.0
32288,0385333501,genz,9.0
32294,038533351X,genz,9.0
32302,0385333706,genx,7.666666666666667
32307,0385333757,millenial,5.0
32312,0385333781,genz,7.0
32317,0385333846,youth,10.0
32325,0385333862,millenial,7.333333333333333
32330,0385333919,genz,7.0
32339,0385333927,boomer+,9.0
32345,0385334036,boomer+,8.0
32348,0385334141,genz,10.0
32355,0385334168,millenial,7.0
32358,0385334206,teenager,9.0
32368,0385334222,genx,8.5
32374,0385334389,genx,8.5
32377,0385334583,youth,10.0
32387,0385334621,boomer+,10.0
32391,0385334672,millenial,10.0
32398,0385334702,genx,8.0
32402,0385334710,genz,10.0
32408,0385334729,genz,8.0
32415,0385334834,millenial,8.0
32421,0385334842,millenial,8.0
32425,0385334923,youth,9.0
32433,038533494X,millenial,7.0
32439,0385335121,millenial,7.75
32445,0385335180,millenial,8.666666666666666
32451,0385335210,millenial,10.0
32458,0385335377,genx,9.0
32464,0385335407,genx,8.666666666666666
32468,0385335431,genz,10.0
32475,0385335466,millenial,7.857142857142857
32478,0385335482,teenager,9.0
32487,0385335490,millenial,7.714285714285714
32492,0385335512,genz,8.5
32500,0385335520,genx,9.5
32505,0385335555,millenial,9.25
32510,038533558X,genz,9.5
32517,0385335660,millenial,9.0
32522,0385335679,genz,9.666666666666666
32528,0385335830,genz,7.583333333333333
32533,0385335881,youth,9.0
32541,0385335970,millenial,9.0
32547,0385335989,millenial,8.75
32553,0385335997,millenial,8.75
32557,0385336179,youth,10.0
32566,0385336195,genx,8.0
32572,0385336209,genx,9.0
32577,0385336306,millenial,7.4
32581,0385336314,youth,9.0
32591,0385336322,boomer+,10.0
32597,0385336357,boomer+,10.0
32600,0385336403,genz,10.0
32609,0385336454,boomer+,10.0
32613,0385336489,millenial,9.5
32619,038533656X,millenial,6.666666666666667
32625,0385336667,millenial,9.0
32630,0385336764,genz,10.0
32636,0385336772,genz,8.333333333333334
32644,0385336780,genx,8.0
32646,0385336810,teenager,10.0
32653,0385337116,youth,9.0
32662,0385337132,genx,9.333333333333334
32668,0385337272,genx,8.5
32674,0385337477,genx,9.0
32679,0385337574,millenial,7.0
32682,0385337639,teenager,9.0
32690,0385338252,genz,10.0
32697,0385413017,millenial,10.0
32702,0385413041,genz,8.0
32709,0385413726,millenial,8.666666666666666
32716,0385416342,genx,9.5
32721,0385418485,millenial,8.0
32729,0385418493,boomer+,10.0
32733,0385418868,millenial,9.5
32739,0385419287,millenial,8.0
32746,0385420161,genx,8.285714285714286
32753,038542017X,boomer+,9.0
32759,0385421982,boomer+,10.0
32763,0385423586,millenial,7.0
32768,0385423977,genz,10.0
32777,038542471X,boomer+,9.333333333333334
32782,0385424728,genx,8.666666666666666
32789,0385424736,boomer+,9.0
32792,0385425074,genz,8.0
32801,0385425473,boomer+,10.0
32804,0385425767,genz,8.0
32811,0385468865,millenial,8.0
32816,0385469683,genz,9.0
32822,0385469705,genz,10.0
32829,0385470029,millenial,10.0
32834,0385470819,genz,9.0
32842,0385471432,genx,7.0
32847,0385471483,millenial,9.0
32852,038547167X,genz,7.666666666666667
32859,0385471874,millenial,7.5
32865,0385472943,millenial,8.083333333333334
32872,0385472951,genx,8.0
32877,0385473788,millenial,9.0
32885,0385474016,boomer+,9.0
32889,0385474547,millenial,8.833333333333334
32894,0385474903,genz,9.0
32900,038547508X,genz,8.5
32907,0385475713,millenial,9.0
32915,0385475721,boomer+,10.0
32919,0385475772,millenial,8.5
32924,0385477058,genz,9.0
32932,0385477864,genx,7.0
32938,0385478003,genx,9.0
32943,038547802X,millenial,9.666666666666666
32948,0385478046,genz,9.0
32956,0385479484,genx,7.0
32961,0385479565,millenial,8.409090909090908
32967,0385480016,millenial,8.857142857142858
32972,0385480318,genz,10.0
32978,0385480334,genz,10.0
32985,0385480539,millenial,7.0
32991,0385481969,millenial,7.5
32995,0385482388,youth,10.0
33003,0385482485,millenial,7.333333333333333
33009,0385482493,millenial,8.0
33016,0385482515,genx,9.0
33020,0385483295,genz,8.333333333333334
33026,0385483503,genz,9.333333333333334
33033,0385483732,millenial,8.0
33037,0385484011,youth,9.0
33047,0385484518,boomer+,9.5
33051,0385485107,millenial,9.0
33057,0385485212,millenial,6.333333333333333
33062,0385486588,genz,10.0
33067,0385486804,youth,9.5
33075,038548741X,millenial,8.0
33082,0385487622,genx,8.0
33088,0385488181,genx,8.0
33094,0385488440,genx,9.0
33100,0385489056,genx,9.0
33107,0385489129,boomer+,8.333333333333334
33110,0385489501,genz,9.0
33115,038548951X,youth,10.0
33123,0385489935,millenial,8.25
33130,0385490445,genx,9.333333333333334
33135,038549081X,millenial,8.857142857142858
33138,0385490992,teenager,9.0
33147,0385491026,millenial,9.166666666666666
33152,0385491034,genz,9.0
33160,0385491042,genx,8.0
33165,0385491050,millenial,9.333333333333334
33170,0385491069,genz,8.0
33177,0385491077,millenial,8.0
33184,0385491085,genx,9.0
33189,0385491107,millenial,6.666666666666667
33193,038549128X,youth,10.0
33200,0385491328,genz,8.0
33206,0385491336,genz,7.0
33214,0385491808,genx,8.0
33219,0385492081,millenial,8.538461538461538
33225,0385492162,millenial,7.333333333333333
33229,0385492243,youth,9.0
33236,0385492677,genz,9.0
33244,0385492707,genx,10.0
33249,038549274X,millenial,6.0
33255,0385492758,millenial,5.0
33261,0385493002,millenial,8.0
33267,0385493029,millenial,9.0
33274,0385493622,genx,10.0
33278,0385493800,genz,8.0
33285,0385494149,millenial,8.0
33292,038549422X,genx,9.0
33298,0385494238,genx,7.0
33302,0385494246,genz,7.857142857142857
33308,0385494505,genz,7.0
33315,0385494785,millenial,9.0
33321,0385495315,millenial,9.333333333333334
33326,0385495323,genz,7.0
33334,0385495404,genx,9.0
33340,0385495439,genx,7.5
33344,0385495641,genz,10.0
33351,038549565X,millenial,8.0
33355,0385495757,youth,10.0
33364,0385495846,genx,9.0
33370,0385495854,genx,8.333333333333334
33376,0385496095,genx,8.333333333333334
33381,0385496117,millenial,6.5
33388,0385496753,genx,9.5
33392,0385497288,genz,9.333333333333334
33400,038549730X,genx,7.5
33405,038549744X,millenial,8.666666666666666
33409,0385497466,youth,9.0
33417,0385497520,millenial,9.0
33423,0385497679,millenial,8.0
33429,0385497946,millenial,7.0
33435,0385497954,millenial,9.0
33440,0385498055,genz,7.0
33447,0385498233,millenial,8.5
33453,0385498411,millenial,9.333333333333334
33458,0385498721,genz,8.666666666666666
33464,0385498799,genz,7.0
33472,0385498802,genx,7.764705882352941
33477,0385499086,millenial,7.5
33483,0385499345,millenial,9.0
33490,0385499825,genx,8.75
33495,0385499833,millenial,10.0
33502,0385500696,genx,8.333333333333334
33506,0385500769,genz,10.0
33513,038550084X,millenial,6.0
33518,038550117X,genz,8.0
33524,038550120X,genz,9.0
33532,0385501404,genx,10.0
33537,0385501412,millenial,8.5
33542,0385501560,genz,8.5
33549,0385501617,millenial,8.0
33554,0385502532,genz,10.0
33562,0385502605,genx,8.0
33567,0385502761,millenial,7.333333333333333
33570,0385503466,teenager,9.0
33581,0385503822,boomer+,8.333333333333334
33586,0385503857,genx,8.714285714285714
33591,0385503954,millenial,8.2
33595,0385504209,youth,8.8
33602,0385504268,genz,10.0
33607,0385504470,youth,9.0
33612,0385505833,teenager,8.0
33622,0385505914,genx,9.5
33629,0385506686,boomer+,10.0
33631,0385507593,youth,10.0
33640,0385507607,genx,8.25
33645,0385507836,millenial,7.0
33653,0385508042,boomer+,8.0
33659,0385508417,boomer+,9.0
33664,0385508719,genx,8.0
33668,038550926X,genz,7.857142857142857
33673,0385509456,youth,10.0
33681,0385509472,millenial,9.5
33686,0385509510,genz,8.25
33693,0385509529,millenial,8.0
33699,0385510012,millenial,8.0
33703,0385510098,youth,9.0
33712,0385510187,genx,8.0
33719,0385510438,boomer+,8.8
33721,0385511612,youth,8.0
33729,0385512104,millenial,8.5
33733,0385512147,youth,8.0
33740,0385605145,genz,7.666666666666667
33747,0385720106,millenial,7.4375
33754,0385720114,genx,7.0
33758,0385720211,genz,8.0
33766,0385720408,genx,9.0
33772,0385720467,genx,7.166666666666667
33778,0385720483,genx,7.666666666666667
33783,0385720602,millenial,8.5
33788,0385720726,genz,7.0
33793,0385720920,youth,10.0
33802,0385720955,genx,7.833333333333333
33807,0385721234,millenial,8.833333333333334
33813,0385721358,millenial,8.25
33821,0385721420,boomer+,10.0
33824,0385721633,genz,9.0
33831,0385721676,millenial,8.166666666666666
33836,038572179X,genz,9.166666666666666
33844,0385721811,genx,9.0
33849,0385722109,millenial,4.75
33853,0385722192,youth,8.666666666666666
33859,0385722206,youth,9.0
33865,0385722435,youth,9.0
33875,0385722613,boomer+,10.0
33878,0385729332,genz,8.5
33885,0385729340,millenial,9.125
33893,0385730586,boomer+,9.0
33895,0385730713,youth,9.333333333333334
33903,0393000567,millenial,6.0
33910,0393008533,genx,9.0
33915,0393010465,millenial,8.0
33921,0393029190,millenial,6.5
33926,0393035891,genz,7.0
33934,0393039242,genx,9.0
33938,0393040135,genz,8.0
33944,039304016X,genz,10.0
33952,0393040372,genx,8.5
33959,0393043487,boomer+,10.0
33963,0393043762,millenial,9.5
33968,039304632X,genz,8.0
33975,0393046338,millenial,6.666666666666667
33980,0393046974,genz,8.5
33986,0393048470,genz,10.0
33993,0393049272,millenial,10.0
33997,0393049566,youth,8.0
34006,0393050297,genx,10.0
34012,0393050424,genx,9.0
34017,0393050939,millenial,8.727272727272727
34022,0393050947,genz,10.0
34031,0393051404,boomer+,10.0
34036,0393051838,genx,8.0
34039,039305747X,youth,9.0
34048,0393057658,genx,10.0
34052,039308700X,genz,10.0
34058,0393091465,genz,9.0
34064,0393300234,genz,10.0
34071,0393300560,millenial,8.5
34078,0393301311,genx,7.5
34084,0393302008,genx,9.0
34089,0393303217,millenial,9.5
34095,0393305422,millenial,7.0
34100,0393307050,genz,10.0
34108,0393307069,genx,10.0
34114,039330812X,genx,9.5
34120,0393308804,genx,8.5
34126,0393309282,genx,8.0
34131,0393310396,millenial,10.0
34136,0393310752,genz,10.0
34144,0393311031,genx,9.0
34150,0393311147,genx,10.0
34155,0393312461,millenial,10.0
34160,0393312801,genz,7.8
34165,0393312836,youth,9.166666666666666
34172,0393313964,genz,9.0
34180,0393314251,genx,8.0
34182,0393314804,teenager,10.0
34193,0393315606,boomer+,9.0
34195,0393315630,youth,7.0
34203,0393315703,millenial,8.75
34207,0393315819,youth,9.0
34215,0393316009,millenial,9.0
34220,0393316041,genz,9.5
34226,0393316580,genz,7.0
34232,0393317552,genz,8.5
34236,0393318680,teenager,7.0
34244,0393319296,genz,8.285714285714286
34251,0393319504,millenial,8.5
34258,0393320979,genx,10.0
34263,0393321983,millenial,7.0
34268,0393322157,genz,8.5
34276,0393322815,genx,10.0
34281,0393324141,millenial,9.0
34287,0393324826,millenial,9.5
34292,0393325172,genz,8.0
34300,0393951693,genx,7.0
34306,0393955524,genx,10.0
34310,0393962903,genz,9.0
34316,0393964817,genz,7.0
34322,0393968200,genz,7.0
34330,0394178009,genx,10.0
34335,0394179692,millenial,8.5
34342,0394404289,genx,10.0
34348,0394473450,genx,8.0
34354,0394498216,genx,10.0
34360,0394500792,genx,9.0
34365,0394504321,millenial,10.0
34371,0394506685,millenial,9.0
34376,0394507630,genz,10.0
34383,0394521110,millenial,8.5
34390,0394530152,genx,9.0
34396,0394534433,genx,10.0
34402,039453512X,genx,9.333333333333334
34408,0394537602,genx,10.0
34413,0394539079,millenial,9.0
34419,0394541545,millenial,8.0
34427,0394543971,boomer+,7.0
34432,0394545370,genx,8.333333333333334
34438,0394548108,genx,9.0
34444,0394550846,genx,10.0
34449,0394551907,millenial,9.666666666666666
34454,0394552547,genz,8.0
34461,0394555090,millenial,10.0
34468,0394556968,genx,9.0
34472,0394557433,genz,10.0
34480,0394558235,genx,9.333333333333334
34486,0394559517,genx,6.0
34492,0394561619,genx,10.0
34498,0394563492,genx,9.0
34503,0394564243,millenial,8.0
34510,0394564324,genx,7.5
34516,0394565614,genx,9.0
34521,0394571029,millenial,8.0
34528,0394572300,genx,9.0
34534,0394572343,genx,8.0
34539,0394573293,millenial,7.0
34546,0394573358,genx,8.0
34550,0394574745,genz,9.0
34557,0394574753,millenial,9.5
