,Book-Title-Length,Book-Author,Book-Publisher,Publication-Era,Favourite-Generation
4866,3,Toni Morrison,Knopf,>=2000,youth
4867,5,Rick Bragg,Vintage Books USA,1980s-1990s,millenial
4868,8,KATHY DOBIE,Dial Books,>=2000,genz
4869,2,Torey Hayden,Avon,1980s-1990s,genz
4870,5,Tracy Chevalier,Plume Books,>=2000,genx
4871,2,Anne Lamott,Riverhead Books,>=2000,boomer+
4872,4,Anita Shreve,Back Bay Books,1980s-1990s,youth
4873,4,Anne Lamott,North Point Press,1980s-1990s,genx
4874,2,CHRISTINA SCHWARZ,Ballantine Books,>=2000,millenial
4875,7,Roger Lea MacBride,HarperTrophy,1980s-1990s,youth
4876,6,Laura Ingalls Wilder,HarperTrophy,before 1980s,millenial
4877,10,Jessica Shaver,Bethany House Publishers,1980s-1990s,millenial
4878,8,Scott Adams,Andrews McMeel Publishing,1980s-1990s,youth
4879,7,Louis Sachar,HarperTrophy,1980s-1990s,teenager
4880,8,Jeffrey Moussaieff Masson,Delta,1980s-1990s,genz
4881,1,Trevanian,Not Avail,1980s-1990s,millenial
4882,3,Robert. Metz,Playboy Mass Market Paperbacks,1980s-1990s,millenial
4883,5,Edward Rutherford,Ivy Books,1980s-1990s,millenial
4884,3,John Jakes,Dell Publishing Company,1980s-1990s,genx
4885,17,Kathryn Lasky,Scholastic,1980s-1990s,millenial
4886,9,Gertrude Chandler Warner,Albert Whitman & Company,1980s-1990s,genx
4887,4,L.M. Montgomery,Scholastic,1980s-1990s,millenial
4888,3,John D. Fitzgerald,Yearling,before 1980s,millenial
4889,1,Norma Fox Mazer,HarperTrophy,1980s-1990s,teenager
4890,5,Stephanie Bond,St. Martin's Paperbacks,>=2000,millenial
4891,1,Patrick Lynch,Berkley Publishing Group,1980s-1990s,millenial
4892,2,RICHARD NORTH PATTERSON,Ballantine Books,1980s-1990s,genx
4893,2,Dean R. Koontz,Berkley Publishing Group,1980s-1990s,teenager
4894,2,Philip Roth,Random House Uk Ltd,>=2000,millenial
4895,1,Nicholas Christopher,Perennial,>=2000,millenial
4896,2,Torey Hayden,Avon Books,>=2000,millenial
4897,12,Carolyn Keene,Grosset & Dunlap,before 1980s,genx
4898,2,Larry Bond,Warner Books,1980s-1990s,boomer+
4899,7,Susan Jeffers,Ballantine Books,1980s-1990s,genx
4900,13,Jack Canfield,Health Communications,1980s-1990s,genx
4901,7,Gavin Edwards,Fireside,1980s-1990s,genx
4902,5,Elizabeth Berg,Island,1980s-1990s,millenial
4903,3,Anna Quindlen,Delta Trade Paperbacks,1980s-1990s,millenial
4904,6,Peter Gethers,Ballantine Books,1980s-1990s,teenager
4905,9,Joan Brady,Pocket,1980s-1990s,genz
4906,3,William Shakespeare,Washington Square Press,1980s-1990s,genz
4907,2,Allegra Goodman,Dell Publishing Company,1980s-1990s,genx
4908,3,MICHAEL SHAARA,Ballantine Books,1980s-1990s,youth
4909,2,Jennifer Belle,Riverhead Books,>=2000,boomer+
4910,3,Annie Dillard,Perennial,1980s-1990s,millenial
4911,5,Dermot Bolger,Harcourt,>=2000,genx
4912,2,Patricia Daniels Cornwell,Berkley Publishing Group,1980s-1990s,boomer+
4913,4,V.C. Andrews,Pocket,1980s-1990s,genz
4914,6,Poul Anderson,Tor Books,1980s-1990s,genx
4915,29,Mark Twain,Signet Classics,1980s-1990s,millenial
4916,5,Renate Dorrestein,Contact,1980s-1990s,millenial
4917,5,Lilian Jackson Braun,Jove Books,1980s-1990s,boomer+
4918,1,Douglas Preston,Tor Books,1980s-1990s,genz
4919,3,Margaret Coel,Berkley Publishing Group,>=2000,millenial
4920,6,Margaret Coel,Prime Crime,1980s-1990s,millenial
4921,3,Margaret Coel,Berkley Publishing Group,>=2000,genz
4922,17,Stephanie Barron,Bantam Books,1980s-1990s,millenial
4923,5,Jessica Anderson,Penguin USA,1980s-1990s,genx
4924,5,Bryce Courtenay,W.H.A,1980s-1990s,millenial
4925,1,Jude Deveraux,Pocket Books,>=2000,genx
4926,4,Judith McNaught,Pocket,1980s-1990s,genz
4927,2,Jude Deveraux,Pocket,1980s-1990s,genx
4928,8,Greg Cox,Pocket Books,1980s-1990s,millenial
4929,4,Emily Grayson,Avon,>=2000,genz
4930,22,John Gray,HarperTorch,1980s-1990s,millenial
4931,4,S. L. Viehl,Roc,>=2000,millenial
4932,6,S. L. Viehl,Roc,>=2000,genx
4933,3,S. L. Viehl,Roc,>=2000,millenial
4934,6,S. L. Viehl,Roc,>=2000,genx
4935,5,S. L. Viehl,Roc,>=2000,millenial
4936,3,Margaret George,Penguin Books,>=2000,genx
4937,3,Linda Lay Shuler,Signet Book,1980s-1990s,boomer+
4938,7,Marisol,Rayo,>=2000,genz
4939,2,Jhumpa Lahiri,Houghton Mifflin Company,>=2000,genz
4940,4,Gregory Maguire,Regan Books,>=2000,genz
4941,11,LAURIE NOTARO,Villard,>=2000,genx
4942,8,Laurell K. Hamilton,Jove Books,>=2000,genz
4943,7,Laurell K. Hamilton,Jove Books,>=2000,genz
4944,2,Laurell K. Hamilton,Jove Books,1980s-1990s,genz
4945,7,Laurell K. Hamilton,Jove Books,1980s-1990s,genx
4946,7,Laurell K. Hamilton,Jove Books,1980s-1990s,genx
4947,8,Laurell K. Hamilton,Jove Books,>=2000,genx
4948,9,Laurell K. Hamilton,Jove Books,1980s-1990s,genx
4949,7,Laurell K. Hamilton,Jove Books,1980s-1990s,millenial
4950,6,Indu Sundaresan,Atria Books,>=2000,genz
4951,5,Indu Sundaresan,Atria,>=2000,genz
4952,3,Kathy Reichs,Distribooks,>=2000,teenager
4953,6,Catherine Millet,Goldmann,>=2000,genz
4954,8,Robert Jordan,Tor Books,>=2000,millenial
4955,6,"Arthur Conan, Sir Doyle",NTC/Contemporary Publishing Company,1980s-1990s,millenial
4956,5,Joan Brady,Suma de Letras,>=2000,genz
4957,5,Helen Fielding,"Plaza & Janes Editores, S.A.",>=2000,youth
4958,1,JANE AUSTEN,Bantam,1980s-1990s,millenial
4959,7,Terry Brooks,Del Rey Books,>=2000,millenial
4960,5,Ellen Sussman,Warner Books,>=2000,genx
4961,7,Anne Frank,Bantam Books,1980s-1990s,genx
4962,2,Jeanne D'Haem,Virago Press (UK),>=2000,genz
4963,10,George Lucas,Ballantine Books,before 1980s,millenial
4964,7,Isadora Tattlin,Broadway Books,>=2000,youth
4965,6,Robin Maxwell,Touchstone,1980s-1990s,youth
4966,5,Jacqueline Harpman,Eos,1980s-1990s,millenial
4967,3,Maggie Shayne,Jove Books,>=2000,millenial
4968,3,John Sandford,Berkley Publishing Group,>=2000,boomer+
4969,5,Kate White,Warner Vision,>=2000,genx
4970,2,Robyn Sisman,Ballantine Books,>=2000,millenial
4971,7,KATIE SCHNEIDER,Broadway,>=2000,genz
4972,7,Shirley MacLaine,Atria,>=2000,millenial
4973,7,Anna Gavalda,Editions J'Ai Lu,>=2000,youth
4974,4,Roald Dahl,Puffin Books,1980s-1990s,genz
4975,5,Annie Proulx,Heyne,1980s-1990s,genx
4976,2,Alice Hoffman,Berkley Publishing Group,1980s-1990s,millenial
4977,2,Nora Roberts,Putnam Publishing Group,>=2000,genx
4978,2,Alice Hoffman,Berkley Publishing Group,>=2000,genx
4979,2,Linda Howard,Pocket,>=2000,genx
4980,1,Sarah Waters,Riverhead Books,>=2000,millenial
4981,2,James Lee Burke,Hyperion,1980s-1990s,millenial
4982,3,V.C. Andrews,Pocket,1980s-1990s,genz
4983,3,V.C. Andrews,Pocket,1980s-1990s,genz
4984,2,V.C. Andrews,Pocket,1980s-1990s,genz
4985,3,V.C. Andrews,Pocket,1980s-1990s,genx
4986,5,V.C. Andrews,Pocket,1980s-1990s,genz
4987,1,Dean R. Koontz,Berkley Publishing Group,1980s-1990s,genx
4988,2,Laurie Halse Anderson,Aladdin,>=2000,millenial
4989,7,Alice Vaara,LÃ?ÃÂ¼bbe,1980s-1990s,millenial
4990,4,Mary Higgins Clark,Simon & Schuster,1980s-1990s,millenial
4991,16,Bettie Youngs,HCI Teens,1980s-1990s,genx
4992,9,Lloyd Alexander,Puffin Books,1980s-1990s,youth
4993,6,Bette Lord,Avon Books,1980s-1990s,genx
4994,2,DANIELLE STEEL,Dell,1980s-1990s,genz
4995,3,James Redfield,Warner Books,1980s-1990s,genz
4996,8,R. L. Stine,Scholastic,1980s-1990s,genx
4997,7,R. L. Stine,Scholastic,1980s-1990s,teenager
4998,1,Michael Crichton,Alfred A. Knopf,1980s-1990s,millenial
4999,3,Jayne Ann Krentz,Putnam Publishing Group,>=2000,genx
5000,3,Nicci French,Mysterious Press,>=2000,genx
5001,5,Joy Fielding,Harpercollins,1980s-1990s,boomer+
5002,6,J.A. Jance,William Morrow,>=2000,boomer+
5003,1,Cornelia Funke,Chicken House,>=2000,genz
5004,5,MATTHEW PEARL,Random House Trade Paperbacks,>=2000,boomer+
5005,17,Mary Sheedy Kurcinka,Perennial,1980s-1990s,genz
5006,2,Meg O'Brien,Mira,>=2000,teenager
5007,11,John Simpson,Trans-Atlantic Pubns,1980s-1990s,genz
5008,10,JON KRAKAUER,Doubleday,>=2000,genz
5009,2,JANE SMILEY,Ivy Books,1980s-1990s,genx
5010,3,Alessandro Baricco,Distribooks Inc,>=2000,millenial
5011,3,Benjamin v Stuckrad-Barre,Kiepenheuer & Witsch,1980s-1990s,millenial
5012,6,Michael Connelly,Little Brown & Co,1980s-1990s,genx
5013,7,Janet Evanovich,St. Martin's Press,1980s-1990s,genz
5014,10,Robert J. Randisi,Leisure Books,>=2000,genx
5015,5,Harry F. Saint,Simon & Schuster,1980s-1990s,millenial
5016,8,Margaret Truman,Fawcett Books,1980s-1990s,genz
5017,6,ISAAC ASIMOV,Bantam,1980s-1990s,genx
5018,9,William Shakspeare,Signet Classics,1980s-1990s,genz
5019,3,Anne McCaffrey,Ace Books,1980s-1990s,genx
5020,8,Peter David,Star Trek,1980s-1990s,millenial
5021,4,Kate Clinton,Ballantine Books,1980s-1990s,millenial
5022,10,Timothy Zahn,Bantam,1980s-1990s,genz
5023,13,Julie Andrews Edwards,HarperTrophy,>=2000,millenial
5024,8,Leslie Glass,Onyx Books,>=2000,genx
5025,3,Sarah Waters,Riverhead Books,>=2000,genx
5026,12,Nora Roberts,Silhouette,1980s-1990s,millenial
5027,3,Peter Watts,Tor Science Fiction,>=2000,millenial
5028,2,Jamaica Kincaid,Penguin USA,1980s-1990s,millenial
5029,6,Jonathan Kellerman,Bantam Books,1980s-1990s,genx
5030,6,Susan Fromberg Schaeffer,Random House Inc,1980s-1990s,genz
5031,13,Dominick Dunne,Ballantine Books,1980s-1990s,genx
5032,6,Tony Hillerman,HarperTorch,1980s-1990s,boomer+
5033,4,Pat Conroy,Bantam Books,1980s-1990s,genx
5034,5,Kate Chopin,Penguin USA (Paper),1980s-1990s,genz
5035,3,Adriana Trigiana,Simon & Schuster (Trade Division),>=2000,boomer+
5036,6,Miranda Sawyer,Trafalgar Square,>=2000,millenial
5037,2,Mary Higgins Clark,Pocket,1980s-1990s,genz
5038,14,Steven Pressfield,Perennial,1980s-1990s,genz
5039,7,Robert M Pirsig,Bantam Doubleday Dell,1980s-1990s,genx
5040,6,Tamora Pierce,Scholastic,1980s-1990s,youth
5041,3,Mercedes Lackey,Daw Books,>=2000,millenial
5042,4,Dean R. Koontz,Berkley Publishing Group,1980s-1990s,genz
5043,2,Dean R. Koontz,Ballantine Books,1980s-1990s,genz
5044,4,Stephen Coonts,Pocket,1980s-1990s,genz
5045,3,Hakan Nesser,btb,>=2000,millenial
5046,5,W. E. B. Griffin,Jove Books,>=2000,millenial
5047,2,Judith McNaught,Pocket,1980s-1990s,genz
5048,12,Tad Williams,Daw Books,1980s-1990s,genx
5049,2,Steve Martini,Jove Books,>=2000,genz
5050,2,Karen Harper,Mira,1980s-1990s,genz
5051,4,Kuki Gallmann,Penguin Books,>=2000,genz
5052,4,Jimmy Buffett,Avon,1980s-1990s,genz
5053,3,Richard Mason,Warner Vision,>=2000,genx
5054,3,LISA GARDNER,Bantam,1980s-1990s,youth
5055,7,Tadahiko Nagao,Fireside,>=2000,genz
5056,4,Nicholas Sparks,Warner Books,1980s-1990s,genz
5057,11,Tom Brokaw,Random House,>=2000,millenial
5058,5,Sue Monk Kidd,Viking Books,>=2000,youth
5059,1,Jane Hamilton,Doubleday Books,>=2000,genz
5060,11,Laurie Fox,Simon & Schuster,1980s-1990s,millenial
5061,11,Michele Slung,Roc,1980s-1990s,millenial
5062,3,Emma Forrest,Touchstone,>=2000,youth
5063,2,MAX BARRY,Vintage,>=2000,teenager
5064,6,William Least-Heat Moon,Mariner Books,1980s-1990s,genx
5065,3,Maryanne Stahl,New American Library,>=2000,genx
5066,2,Matthew Kneale,Anchor Books/Doubleday,>=2000,millenial
5067,8,P.D. JAMES,Fawcett,>=2000,boomer+
5068,2,Anne Perry,Fawcett Books,1980s-1990s,millenial
5069,11,Naomi Wolf,Anchor,1980s-1990s,genz
5070,4,Barbara Taylor Bradford,HarperTorch,>=2000,genx
5071,3,MAYA ANGELOU,Bantam,1980s-1990s,genx
5072,3,Anne Frank,Pocket,1980s-1990s,youth
5073,7,Anne Frank,Pocket,1980s-1990s,youth
5074,5,India Knight,Houghton Mifflin Company,>=2000,genz
5075,6,Neale Donald Walsch,Putnam Publishing Group,1980s-1990s,youth
5076,6,Robert Penn Warren,Harvest Books,1980s-1990s,millenial
5077,4,F. Scott Fitzgerald,Lb May & Assoc Inc,1980s-1990s,genx
5078,2,Colson Whitehead,Anchor Books/Doubleday,1980s-1990s,millenial
5079,2,Brad Meltzer,Warner Vision,>=2000,genx
5080,2,Clive Barker,HarperTorch,>=2000,genx
5081,6,Wendy Northcutt,Dutton Books,>=2000,genz
5082,10,Dan Zevin,Villard Books,>=2000,genx
5083,3,Gilda Radner,Avon,1980s-1990s,millenial
5084,1,David Weber,Baen Books,>=2000,genx
5085,5,Carol Higgins Clark,Scribner,>=2000,genx
5086,1,Stuart Woods,HarperTorch,1980s-1990s,millenial
5087,2,Anne Michaels,Vintage Books USA,1980s-1990s,millenial
5088,5,Jostein Gaarder,Carl Hanser,1980s-1990s,genx
5089,2,JEANETTE WINTERSON,Vintage,1980s-1990s,millenial
5090,2,Louise Erdrich,Bantam Books,1980s-1990s,millenial
5091,6,Arthur Conan Doyle,Penguin Books,>=2000,genx
5092,1,Sandra Cisneros,Alfred A. Knopf,>=2000,genx
5093,2,Charlotte Link,Goldmann,1980s-1990s,genx
5094,6,Wolfgang BÃ?ÃÂ¼scher,"Rowohlt, Reinbek",>=2000,genx
5095,5,Robert Merle,Aufbau Tb,1980s-1990s,genx
5096,14,Alexander McCall Smith,Nymphenburger,>=2000,millenial
5097,6,Nancy H. Kleinbaum,LÃ?ÃÂ¼bbe,1980s-1990s,youth
5098,3,John Grisham,Heyne,1980s-1990s,millenial
5099,3,Carol Shields,Viking Books,1980s-1990s,genx
5100,7,J. M. Synge,Penguin Books,1980s-1990s,genx
5101,7,Lillian Too,Element Books Ltd.,1980s-1990s,genx
5102,2,Clive Cussler,Pocket Books,1980s-1990s,millenial
5103,1,Chris Bohjalian,Random House~trade,1980s-1990s,boomer+
5104,12,Gordon MacKenzie,Penguin Putnam,1980s-1990s,boomer+
5105,4,Leif Enger,Grove/Atlantic,>=2000,genz
5106,2,David Baldacci,Warner Books,1980s-1990s,millenial
5107,3,ARTHUR PHILLIPS,Random House,>=2000,millenial
5108,7,Christopher Pike,Simon Pulse,1980s-1990s,youth
5109,5,Colleen McCullough,Avon,1980s-1990s,genz
5110,9,Louise Erdrich,HarperCollins,>=2000,millenial
5111,14,Jack Canfield,Health Communications,1980s-1990s,genz
5112,4,LAURA HILLENBRAND,Random House,>=2000,genx
5113,13,Arianna Huffington,Crown Publishers,>=2000,millenial
5114,8,Frances Mayes,Chronicle Books,1980s-1990s,millenial
5115,3,JOHN IRVING,Random House,>=2000,genx
5116,2,Joan Johnston,Island,1980s-1990s,genz
5117,2,Robert K. Tanenbaum,Signet Book,1980s-1990s,millenial
5118,7,Melanie Rawn,Daw Books,1980s-1990s,teenager
5119,4,Ann-Marie MacDonald,Simon & Schuster,>=2000,genx
5120,9,W. E. B. Griffin,Jove Books,>=2000,millenial
5121,5,Mary Higgins Clark,Simon & Schuster,1980s-1990s,genz
5122,4,Elizabeth George,Bantam Books,>=2000,boomer+
5123,2,Faye Kellerman,Warner Books,>=2000,genx
5124,3,Elizabeth George,Bantam Books,1980s-1990s,youth
5125,2,W. E. B. Griffin,Jove Books,1980s-1990s,millenial
5126,5,W. E. B. Griffin,Jove Books,>=2000,boomer+
5127,7,W. E. B. Griffin,Jove Books,1980s-1990s,millenial
5128,7,W. E. B. Griffin,Jove Books,1980s-1990s,genx
5129,8,W. E. B. Griffin,Jove Books,1980s-1990s,genz
5130,7,W. E. B. Griffin,Jove Books,1980s-1990s,genx
5131,2,Bentley Little,Signet Book,>=2000,genz
5132,1,Shaun Hutson,"Acacia Press, Inc.",1980s-1990s,millenial
5133,5,Jesse Hunter,Simon & Schuster,1980s-1990s,millenial
5134,2,Elizabeth Berg,Washington Square Press,>=2000,genx
5135,5,Brian Jacques,Ace Books,>=2000,teenager
5136,2,Elizabeth Ann Scarborough,Ace Books,>=2000,genx
5137,1,Laurell K. Hamilton,Roc,>=2000,genz
5138,4,David Eddings,Del Rey Books,>=2000,millenial
5139,10,Jodi Picoult,Washington Square Press,>=2000,millenial
5140,2,Michael Moore,Crown Publishers,1980s-1990s,genz
5141,2,Maeve Binchy,Signet Book,>=2000,genx
5142,1,Nora Roberts,Jove Books,1980s-1990s,genz
5143,1,Mary Higgins Clark,Pocket,1980s-1990s,genx
5144,8,DOROTHY BRYANT,Random House,before 1980s,genz
5145,7,Kathleen O'Neal Gear,Tor Books,>=2000,genx
5146,1,Elizabeth Hand,HarperTorch,1980s-1990s,millenial
5147,7,MARK TWAIN,Bantam,1980s-1990s,millenial
5148,7,Jon Krakauer,Anchor,1980s-1990s,genx
5149,6,Witi Ihimaera,Reed New Zealand,>=2000,millenial
5150,6,Jule McBride,Harlequin,>=2000,millenial
5151,4,Michael J. Fox,Hyperion,>=2000,genz
5152,2,Nora Roberts,Jove Books,>=2000,genz
5153,1,Bill Cosby,Berkley Publishing Group,1980s-1990s,genx
5154,2,Jude Deveraux,Pocket Star,1980s-1990s,millenial
5155,3,Larry McMurtry,Pocket,1980s-1990s,millenial
5156,2,William K. Hartmann,Tor Books,1980s-1990s,millenial
5157,4,LOIS LOWRY,Laurel Leaf,>=2000,genz
5158,2,Julie Garwood,Pocket,1980s-1990s,millenial
5159,7,ANNE TYLER,Ballantine Books,1980s-1990s,millenial
5160,3,Howard Dean,Simon & Schuster,>=2000,genx
5161,4,Dennis J. Kucinich,Nation Books,>=2000,genz
5162,5,James Hynes,Picador,>=2000,boomer+
5163,7,Sarah Zettel,Tor Books,>=2000,genz
5164,4,David Guterson,Harcourt,1980s-1990s,genx
5165,4,Russell Grant,Sterling Publishing,1980s-1990s,teenager
5166,4,George Burns,Penguin USA,1980s-1990s,millenial
5167,6,Angela Fisher,Pocket,1980s-1990s,millenial
5168,3,Laura Zigman,Delta,>=2000,genz
5169,4,Virginia Woolf,NTC/Contemporary Publishing,1980s-1990s,millenial
5170,4,Judith R. Hendricks,Perennial,>=2000,genx
5171,11,Adriana Trigiani,Ballantine Books,>=2000,genz
5172,5,ADRIANA TRIGIANI,Random House,>=2000,millenial
5173,3,LAURA FRASER,Vintage,>=2000,millenial
5174,1,Nancy Huston,McArthur Publishing,>=2000,genx
5175,4,Emily Bronte,Penguin USA,1980s-1990s,millenial
5176,2,Louisa May Alcott,Scholastic,1980s-1990s,genz
5177,6,Kurt Vonnegut,Putnam Pub Group,1980s-1990s,genz
5178,4,Ann-Marie MacDonald,Vintage,1980s-1990s,genz
5179,3,Margaret Peterson Haddix,Aladdin,>=2000,teenager
5180,2,Anne Tyler,Ivy Books,1980s-1990s,millenial
5181,5,Maya Angelou,Bantam Books,1980s-1990s,genx
5182,7,Susan Hill,David R. Godine Publisher,>=2000,genx
5183,3,Susanna Tamaro,Delta,1980s-1990s,millenial
5184,7,Terry Pratchett,Harpercollins Juvenile Books,>=2000,boomer+
5185,1,Chuck Palahniuk,Doubleday Books,>=2000,genz
5186,10,CHUCK PALAHNIUK,Crown,>=2000,genz
5187,6,John Grafton,Dover Publications,1980s-1990s,genx
5188,2,David Baldacci,Warner Books,1980s-1990s,genz
5189,3,RUTH WHITE,Yearling,1980s-1990s,teenager
5190,5,Karen Cushman,HarperTrophy,1980s-1990s,teenager
5191,4,Sook Nyul Choi,Yearling Books,1980s-1990s,teenager
5192,1,Amanda Quick,Bantam,1980s-1990s,genz
5193,6,Susan Hill,Penguin USA,before 1980s,genz
5194,7,P. D. James,Ballantine Books,1980s-1990s,genx
5195,6,Regina McBride,Touchstone,>=2000,boomer+
5196,9,Morgan Llywelyn,Tor Books,1980s-1990s,genx
5197,2,Natalie Goldberg,Bantam,1980s-1990s,millenial
5198,4,Larry Watson,Washington Square Press,1980s-1990s,genz
5199,1,Lisa Jackson,Kensington Publishing Corporation,>=2000,boomer+
5200,2,Stephen Baxter,Del Rey Books,>=2000,genx
5201,7,Zlata Filipovic,Penguin Books,1980s-1990s,millenial
5202,4,Susan Vreeland,Penguin Books,>=2000,teenager
5203,18,Philip K. Dick,Citadel Press,1980s-1990s,millenial
5204,12,Jean P. Sasson,Avon Books,1980s-1990s,millenial
5205,10,David J. Pelzer,Plume Books,>=2000,millenial
5206,7,Suzy Spencer,St. Martin's Press,>=2000,millenial
5207,2,Danielle Steel,Delacorte Press,1980s-1990s,millenial
5208,2,Danielle Steel,Delacorte Press,>=2000,genz
5209,10,Robert Crais,Fawcett Books,>=2000,genx
5210,8,Danielle Steel,Delacorte Press,1980s-1990s,boomer+
5211,1,Danielle Steel,Dell,1980s-1990s,millenial
5212,1,DANIELLE STEEL,Dell,1980s-1990s,genz
5213,2,Danielle Steel,Delacorte Press,1980s-1990s,millenial
5214,5,Danielle Steel,Delacorte Press,>=2000,genx
5215,4,"Jr., Robert H Waterman",Warner Books,1980s-1990s,genx
5216,1,Danielle Steel,Dell,1980s-1990s,millenial
5217,1,DANIELLE STEEL,Dell,1980s-1990s,teenager
5218,5,Robert Ludlum,Bantam Books,1980s-1990s,boomer+
5219,3,Michael Connelly,Warner Books,>=2000,boomer+
5220,10,Ken Leebow,300incredible.com,>=2000,genx
5221,2,Tawni O'Dell,Viking Books,>=2000,genz
5222,9,Debbie Macomber,Harlequin,1980s-1990s,millenial
5223,3,Jeffrey Archer,HarperTorch,1980s-1990s,boomer+
5224,2,Dudley Randall,Bantam Books,1980s-1990s,millenial
5225,3,Henrik Ibsen,Dover Publications,1980s-1990s,genz
5226,4,William Shakespeare,Dover Publications,1980s-1990s,millenial
5227,3,Perri O'Shaughnessy,Dell Publishing Company,>=2000,boomer+
5228,5,Dave Longaberger,HarperBusiness,>=2000,millenial
5229,3,Peter Abrahams,Ballantine Books,1980s-1990s,genx
5230,1,Belva Plain,Dell Publishing Company,1980s-1990s,youth
5231,14,Maria Shriver,Warner Books,>=2000,millenial
5232,5,Sylvia Browne,Hay House,>=2000,millenial
5233,4,DANIELLE STEEL,Delacorte Press,1980s-1990s,genz
5234,2,Oriah Mountain Dreamer,Harper SanFrancisco,1980s-1990s,genz
5235,5,Anne Rice,Alfred A. Knopf,>=2000,genx
5236,2,Katie Macalister,Love Spell,>=2000,genx
5237,8,RITA MAE BROWN,Bantam,>=2000,millenial
5238,2,Robin McKinley,Ace Books,>=2000,millenial
5239,10,Anne McCaffrey,Del Rey Books,1980s-1990s,millenial
5240,15,LAURA ESQUIVEL,Anchor,1980s-1990s,boomer+
5241,2,Emma Holly,Jove Books,>=2000,genx
5242,1,Jude Deveraux,Pocket,1980s-1990s,millenial
5243,5,Kathleen E. Woodiwiss,Avon,>=2000,teenager
5244,5,Kathleen E. Woodiwiss,Avon,before 1980s,genx
5245,7,Kathleen E. Woodiwiss,Avon,1980s-1990s,genx
5246,3,Katherine Stone,Warner Books,1980s-1990s,genz
5247,1,Jill Barnett,Pocket,1980s-1990s,millenial
5248,5,Julie Garwood,Pocket,1980s-1990s,millenial
5249,3,Julie Garwood,Pocket,1980s-1990s,genx
5250,11,Marlena De Blasi,Ballantine Books,>=2000,genx
5251,3,Peg Kerr,Aspect,>=2000,genx
5252,12,Elaine St. James,Hyperion Books,1980s-1990s,boomer+
5253,4,Richard Eyre,Fireside,1980s-1990s,millenial
5254,6,Catherine Coulter,Jove Books,>=2000,genz
5255,2,Patricia Gaffney,Signet Book,>=2000,millenial
5256,3,Sidney Sheldon,Warner Books,1980s-1990s,youth
5257,4,Sidney Sheldon,Warner Books,1980s-1990s,genz
5258,1,John Updike,Fawcett Books,1980s-1990s,millenial
5259,7,L.J. Smith,Simon Pulse,1980s-1990s,youth
5260,3,Mercedes Lackey,Baen,1980s-1990s,millenial
5261,2,Pat Conroy,Bantam Books,1980s-1990s,genx
5262,4,Piers Anthony,Tor Books,1980s-1990s,millenial
5263,10,Mercedes Lackey,Baen,1980s-1990s,millenial
5264,4,Mercedes Lackey,Baen,1980s-1990s,millenial
5265,4,Mercedes Lackey,Baen,1980s-1990s,genx
5266,2,Mercedes Lackey,Baen,1980s-1990s,millenial
5267,2,Charles Dickens,Penguin USA (Paper),1980s-1990s,millenial
5268,4,May Sarton,W. W. Norton & Company,1980s-1990s,genx
5269,7,Debra Ginsberg,HarperCollins Publishers,>=2000,millenial
5270,1,Toni Morrison,Plume Books,1980s-1990s,genx
5271,8,Mercedes Lackey,Daw Books,1980s-1990s,millenial
5272,6,Mercedes Lackey,Tor Books (Mm),1980s-1990s,millenial
5273,4,Milan Kundera,Gallimard French,1980s-1990s,millenial
5274,7,Douglas R. Hofstadter,Basic Books,1980s-1990s,millenial
5275,7,Henry David Thoreau,Penguin Books,1980s-1990s,genx
5276,2,Robert B. Parker,Putnam Pub Group,1980s-1990s,genx
5277,2,Tony Hillerman,Harpercollins,1980s-1990s,genx
5278,3,Judy Jones,Ballantine Books,1980s-1990s,genx
5279,3,Editors of Phaidon Press,Phaidon Press,1980s-1990s,genx
5280,19,Sophy Burnham,Ballantine Books,1980s-1990s,genx
5281,9,Robert Fulghum,Random House Inc,1980s-1990s,genx
5282,17,Barbara Sher,Delacorte Press,1980s-1990s,genx
5283,5,Friedrich Duerenmatt,Distribooks Inc,>=2000,genz
5284,2,Stephen King,Heyne,1980s-1990s,millenial
5285,2,Rick Bragg,Vintage Books USA,>=2000,boomer+
5286,7,Daniel Wallace,Penguin Books,1980s-1990s,genz
5287,4,Bryce Courtenay,Ballantine Books,1980s-1990s,genz
5288,6,R. L. Stine,Scholastic,1980s-1990s,millenial
5289,7,R. L. Stine,Scholastic,1980s-1990s,teenager
5290,8,R. L. Stine,Scholastic,1980s-1990s,genz
5291,4,Alan Garner,Collins,1980s-1990s,boomer+
5292,2,Dennis Lehane,William Morrow & Company,>=2000,genz
5293,1,William H. Armstrong,HarperTrophy,before 1980s,millenial
5294,3,Edward P. Jones,Amistad,>=2000,millenial
5295,5,Tracy Chevalier,Dutton Adult,>=2000,genx
5296,3,Anne Tyler,Ivy Books,1980s-1990s,genz
5297,4,Ernest J. Gaines,Alfred A. Knopf,1980s-1990s,genx
5298,4,Maeve Binchy,Dell Publishing Company,1980s-1990s,genz
5299,1,TONI MORRISON,Knopf,>=2000,millenial
5300,3,Kate Dicamillo,Candlewick Press (MA),>=2000,millenial
5301,3,Katherine Paterson,Avon Books,before 1980s,youth
5302,2,Maeve Binchy,Dell Publishing Company,1980s-1990s,genz
5303,2,William Trevor,Penguin USA,1980s-1990s,millenial
5304,16,Olivia Judson,Metropolitan Books,>=2000,genx
5305,2,Howard Stern,Pocket Books,1980s-1990s,millenial
